[07-Mar-2015 13:05:03 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 13:05:03 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 13:05:03 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 13:05:03 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 13:54:28 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 13:54:34 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 13:54:34 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 13:54:34 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 13:54:35 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 13:55:10 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 13:55:11 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 13:55:12 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 13:55:14 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 18:58:23 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 20:14:57 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 20:15:22 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 20:15:23 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 20:15:24 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 20:15:26 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 20:15:45 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 20:15:51 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 20:15:52 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 20:16:19 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 20:16:21 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 20:16:22 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
[07-Mar-2015 20:16:25 Europe/Berlin] PHP Warning:  Illegal string offset 'state' in /var/www/html/xNova/ajax.php on line 111
